period;Jan-07;Feb-07;Mar-07;Apr-07;May-07;Jun-07;Jul-07;Aug-07;Sep-07;Oct-07;Nov-07;Dec-07;Jan-08;Feb-08;Mar-08;Apr-08;May-08;Jun-08;Jul-08;Aug-08;Sep-08;Oct-08;Nov-08;Dec-08;Jan-09;Feb-09;Mar-09;Apr-09;May-09;Jun-09;Jul-09;Aug-09;Sep-09;Oct-09;Nov-09;Dec-09;Jan-10;Feb-10;Mar-10;Apr-10;May-10;Jun-10;Jul-10;Aug-10;Sep-10;Oct-10;Nov-10;Dec-10;Jan-11;Feb-11;Mar-11;Apr-11;May-11;Jun-11;Jul-11;Aug-11;Sep-11;Oct-11;Nov-11;Dec-11;Jan-12;Feb-12;Mar-12;Apr-12;May-12;Jun-12;Jul-12;Aug-12;Sep-12;Oct-12;Nov-12;Dec-12;Jan-13;Feb-13;Mar-13;Apr-13;May-13;Jun-13;Jul-13;Aug-13;Sep-13;Oct-13;Nov-13;Dec-13;Jan-14;Feb-14;Mar-14;Apr-14;May-14;Jun-14;Jul-14;Aug-14;Sep-14;Oct-14;Nov-14;Dec-14;Jan-15;Feb-15;Mar-15;Apr-15;May-15;Jun-15;Jul-15;Aug-15;Sep-15;Oct-15;Nov-15;Dec-15;Jan-16;Feb-16;Mar-16;Apr-16;May-16;Jun-16;Jul-16;Aug-16;Sep-16;Oct-16;Nov-16;Dec-16;Jan-17;Feb-17;Mar-17;Apr-17;May-17;Jun-17;Jul-17;Aug-17;Sep-17;Oct-17;Nov-17;Dec-17;Jan-18;Feb-18;Mar-18;Apr-18;May-18;Jun-18;Jul-18;Aug-18;Sep-18;Oct-18;Nov-18;Dec-18;Jan-19;Feb-19;Mar-19;Apr-19;May-19;Jun-19;Jul-19;Aug-19;Sep-19;Oct-19;Nov-19;Dec-19;Jan-20;Feb-20;Mar-20;Apr-20;May-20;Jun-20;Jul-20;Aug-20;Sep-20;Oct-20;Nov-20;Dec-20;Jan-21;Feb-21;Mar-21;Apr-21;May-21;Jun-21;Jul-21;Aug-21;Sep-21;Oct-21;Nov-21;Dec-21;Jan-22;Feb-22;Mar-22;Apr-22;May-22;Jun-22;Jul-22;Aug-22;Sep-22;Oct-22;Nov-22;Dec-22;Jan-23;Feb-23;Mar-23;Apr-23;May-23;Jun-23;Jul-23;Aug-23;Sep-23;Oct-23;Nov-23;Dec-23;Jan-24;Feb-24;Mar-24;Apr-24;May-24;Jun-24;Jul-24;Aug-24;Sep-24;Oct-24;Nov-24;Dec-24
Coal ;0.1595;0.0258;0.3406;0.5403;0.4513;0.0491;0.1402;0.1184;0.2301;0.3513;0.2941;0.2426;0.4712;0.1058;0.4781;0.3408;0.2251;0.4267;0.3536;0.2652;0.4217;0.3541;0.5336;0.5418;0.2811;0.2193;0.3675;0.31;0.2451;0.1618;0.4767;0.2537;0.3719;0.3633;0.0942;0.2569;0.1788;0.3476;0.4159;0.3723;0.2591;0.2666;0.2837;0.2734;0.2694;0.2787;0.2518;0.3332;0.3313;0.3429;0.3091;0.3117;0.3791;0.3362;0.3026;0.2723;0.2694;0.2535;0.3285;0.3162;0.3071;0.2611;0.3004;0.3763;0.2723;0.2574;0.229;0.2956;0.388;0.3253;0.3124;0.3014;0.3452;0.3137;0.319;0.353;0.3046;0.3352;0.3052;0.3593;0.3035;0.3043;0.3029;0.2872;0.3271;0.3218;0.344;0.3353;0.4066;0.4078;0.3827;0.3745;0.3745;0.373;0.373;0.3388;0.3516;0.4626;0.4357;0.4218;0.3653;0.4016;0.3424;0.3246;0.3426;0.3321;0.3582;0.2975;0.3958;0.3044;0.3691;0.3801;0.3578;0.3349;0.3026;0.3602;0.3929;0.3546;0.3104;0.2853;0.2993;0.3002;0.3136;0.3527;0.3187;0.3414;0.2641;0.3015;0.333;0.3004;0.3559;0.3353;0.3416;0.2818;0.3367;0.2999;0.3748;0.3574;0.2966;0.3398;0.3618;0.3496;0.3402;0.3465;0.3698;0.2704;0.3891;0.314;0.5214;0.3855;0.2547;0.2863;0.3199;0.3305;0.3323;0.3412;0.3197;0.3852;0.3283;0.3277;0.2886;0.3273;0.344;0.3771;0.3417;0.3314;0.3399;0.3471;0.3092;0.333;0.3743;0.3367;0.3219;0.352;0.3731;0.3691;0.349;0.3675;0.3798;0.3307;0.3816;0.293;0.2757;0.3382;0.2865;0.2233;0.2879;0.3592;0.3137;0.3257;0.3193;0.3405;0.2905;0.379;0.3668;0.3189;0.2785;0.259;0.2557;0.2505;0.2795;0.2947;0.3106;0.2724;0.2428;0.2906;0.2647;0.254;0.2842;0.2469;0.1616;0.2596;0.1941;0.1721;0.2021;0.2086
Crude Oil;0.4683;0.4491;0.4172;0.4592;0.4418;0.4262;0.4675;0.4097;0.4675;0.4245;0.409;0.4108;0.4218;0.3456;0.4339;0.3951;0.4007;0.4791;0.4499;0.354;0.397;0.4365;0.4471;0.4682;0.51;0.434;0.4027;0.4765;0.449;0.4179;0.4509;0.397;0.5348;0.48;0.5078;0.4555;0.5636;0.5099;0.5205;0.5192;0.5098;0.4861;0.5289;0.5051;0.5407;0.4743;0.5107;0.5431;0.5746;0.4597;0.4931;0.4513;0.4274;0.4921;0.4701;0.4107;0.4404;0.5078;0.4717;0.4838;0.481;0.4682;0.4376;0.4334;0.4801;0.4756;0.4643;0.4626;0.4663;0.4913;0.4493;0.4925;0.5032;0.468;0.4493;0.5012;0.4869;0.4481;0.4594;0.4297;0.4363;0.4427;0.4305;0.4462;0.4597;0.4702;0.4296;0.4594;0.4408;0.4507;0.4376;0.4079;0.4925;0.4948;0.4539;0.4602;0.51;0.5108;0.4658;0.4939;0.4647;0.5006;0.4981;0.498;0.506;0.482;0.4565;0.5153;0.5105;0.4743;0.474;0.4694;0.5175;0.4534;0.4416;0.4641;0.436;0.4555;0.4979;0.4639;0.4303;0.4699;0.5345;0.476;0.5076;0.4922;0.4781;0.4635;0.4731;0.4769;0.458;0.4745;0.4815;0.4309;0.411;0.4136;0.4764;0.4425;0.4372;0.4376;0.3997;0.4757;0.4785;0.5052;0.4823;0.4989;0.5127;0.5577;0.5306;0.5295;0.4992;0.5203;0.5172;0.5244;0.5147;0.5444;0.5097;0.4808;0.4651;0.4146;0.4165;0.4627;0.4374;0.4438;0.4758;0.4766;0.4557;0.4984;0.4728;0.4048;0.5134;0.4684;0.4653;0.4681;0.4189;0.3938;0.4548;0.4073;0.4386;0.4661;0.469;0.4474;0.4891;0.436;0.4883;0.4934;0.4978;0.5321;0.5534;0.5022;0.4832;0.4883;0.4958;0.5078;0.5287;0.5189;0.5388;0.5066;0.5333;0.5098;0.4896;0.4951;0.4818;0.5071;0.4804;0.4863;0.4499;0.454;0.541;0.526;0.5501;0.5556;0.543;0.5186;0.5717;0.6484
Natural Gas;0.0463;0.1818;0.3049;0.1867;0.2226;0.174;0.3251;0.3056;0.2564;0.3542;0.2457;0.1732;0.1455;0.2146;0.1786;0.1884;0.228;0.2793;0.204;0.1713;0.228;0.2845;0.0464;0.1594;0.1742;0.1116;0.0985;0.1521;0.1965;0.2107;0.2281;0.2164;0.2082;0.2312;0.2034;0.1753;0.1512;0.5242;0.6599;0.6405;0.658;0.6735;0.603;0.6411;0.6732;0.629;0.612;0.6112;0.6389;0.6541;0.688;0.6248;0.6366;0.6738;0.7054;0.7332;0.7314;0.7321;0.5523;0.5855;0.6104;0.4952;0.5143;0.5079;0.5084;0.5091;0.5143;0.5826;0.5216;0.533;0.5608;0.5114;0.5378;0.5144;0.5882;0.4641;0.4911;0.4902;0.477;0.5351;0.4951;0.5096;0.5243;0.4865;0.5107;0.4883;0.4805;0.5414;0.5079;0.4955;0.4829;0.5198;0.4624;0.5215;0.6543;0.6916;0.6548;0.4993;0.5291;0.545;0.4903;0.531;0.4997;0.5591;0.5841;0.5004;0.4834;0.489;0.5241;0.5047;0.5694;0.5715;0.5025;0.4492;0.5151;0.507;0.4938;0.5163;0.5362;0.5204;0.5154;0.498;0.4854;0.4355;0.5034;0.508;0.5084;0.5216;0.4875;0.491;0.4968;0.5006;0.5199;0.5255;0.5149;0.5024;0.4698;0.5173;0.5157;0.4713;0.4712;0.4567;0.4856;0.4523;0.4518;0.433;0.4143;0.4639;0.516;0.4458;0.4843;0.4033;0.4445;0.5327;0.4679;0.4849;0.463;0.4225;0.4149;0.4466;0.5167;0.4458;0.4723;0.4033;0.4445;0.5327;0.4732;0.4849;0.4564;0.4745;0.4744;0.4887;0.4727;0.4772;0.4866;0.5112;0.5059;0.5431;0.4999;0.519;0.5364;0.4798;0.5584;0.4993;0.4821;0.5134;0.5658;0.5014;0.4161;0.4812;0.5432;0.435;0.5439;0.5165;0.5298;0.5483;0.6028;0.5858;0.5049;0.5078;0.5835;0.5248;0.5252;0.5129;0.5325;0.5171;0.6272;0.5053;0.6269;0.5965;0.6028;0.637;0.5462;0.5486;0.548;0.5696
