period;Jan-07;Feb-07;Mar-07;Apr-07;May-07;Jun-07;Jul-07;Aug-07;Sep-07;Oct-07;Nov-07;Dec-07;Jan-08;Feb-08;Mar-08;Apr-08;May-08;Jun-08;Jul-08;Aug-08;Sep-08;Oct-08;Nov-08;Dec-08;Jan-09;Feb-09;Mar-09;Apr-09;May-09;Jun-09;Jul-09;Aug-09;Sep-09;Oct-09;Nov-09;Dec-09;Jan-10;Feb-10;Mar-10;Apr-10;May-10;Jun-10;Jul-10;Aug-10;Sep-10;Oct-10;Nov-10;Dec-10;Jan-11;Feb-11;Mar-11;Apr-11;May-11;Jun-11;Jul-11;Aug-11;Sep-11;Oct-11;Nov-11;Dec-11;Jan-12;Feb-12;Mar-12;Apr-12;May-12;Jun-12;Jul-12;Aug-12;Sep-12;Oct-12;Nov-12;Dec-12;Jan-13;Feb-13;Mar-13;Apr-13;May-13;Jun-13;Jul-13;Aug-13;Sep-13;Oct-13;Nov-13;Dec-13;Jan-14;Feb-14;Mar-14;Apr-14;May-14;Jun-14;Jul-14;Aug-14;Sep-14;Oct-14;Nov-14;Dec-14;Jan-15;Feb-15;Mar-15;Apr-15;May-15;Jun-15;Jul-15;Aug-15;Sep-15;Oct-15;Nov-15;Dec-15;Jan-16;Feb-16;Mar-16;Apr-16;May-16;Jun-16;Jul-16;Aug-16;Sep-16;Oct-16;Nov-16;Dec-16;Jan-17;Feb-17;Mar-17;Apr-17;May-17;Jun-17;Jul-17;Aug-17;Sep-17;Oct-17;Nov-17;Dec-17;Jan-18;Feb-18;Mar-18;Apr-18;May-18;Jun-18;Jul-18;Aug-18;Sep-18;Oct-18;Nov-18;Dec-18;Jan-19;Feb-19;Mar-19;Apr-19;May-19;Jun-19;Jul-19;Aug-19;Sep-19;Oct-19;Nov-19;Dec-19;Jan-20;Feb-20;Mar-20;Apr-20;May-20;Jun-20;Jul-20;Aug-20;Sep-20;Oct-20;Nov-20;Dec-20;Jan-21;Feb-21;Mar-21;Apr-21;May-21;Jun-21;Jul-21;Aug-21;Sep-21;Oct-21;Nov-21;Dec-21;Jan-22;Feb-22;Mar-22;Apr-22;May-22;Jun-22;Jul-22;Aug-22;Sep-22;Oct-22;Nov-22;Dec-22;Jan-23;Feb-23;Mar-23;Apr-23;May-23;Jun-23;Jul-23;Aug-23;Sep-23;Oct-23;Nov-23;Dec-23;Jan-24;Feb-24;Mar-24;Apr-24;May-24;Jun-24;Jul-24;Aug-24;Sep-24;Oct-24;Nov-24;Dec-24
Coal;0.025;0.0317;0.0275;0.0349;0.0288;0.0291;0.0275;0.0262;0.0307;0.0383;0.0264;0.0282;0.0263;0.0333;0.0271;0.0341;0.0386;0.0328;0.0353;0.0331;0.0328;0.0319;0.0353;0.0379;0.0333;0.0398;0.039;0.036;0.0298;0.0328;0.0319;0.0391;0.0319;0.0298;0.0336;0.0276;0.0332;0.0256;0.0271;0.0282;0.0287;0.0257;0.0284;0.0237;0.0236;0.0272;0.0314;0.0304;0.0263;0.023;0.0302;0.0263;0.0287;0.0274;0.025;0.0272;0.0271;0.0258;0.0286;0.0292;0.0261;0.027;0.0263;0.0257;0.0261;0.0271;0.0255;0.0253;0.0255;0.0289;0.0254;0.0261;0.024;0.0281;0.0267;0.0273;0.0293;0.0312;0.0263;0.0258;0.0269;0.0303;0.0302;0.0276;0.0278;0.0303;0.0302;0.0274;0.03;0.029;0.029;0.0254;0.0274;0.0312;0.0294;0.0266;0.0264;0.021;0.0267;0.0254;0.0241;0.0248;0.0253;0.0183;0.0253;0.0243;0.024;0.0253;0.0248;0.0276;0.0295;0.0248;0.0254;0.0283;0.0291;0.0296;0.0296;0.0281;0.0288;0.0307;0.0287;0.0299;0.0298;0.0287;0.0308;0.029;0.0307;0.0296;0.0302;0.0345;0.0312;0.0306;0.0311;0.0303;0.0301;0.0301;0.0299;0.0311;0.0302;0.0304;0.0282;0.0298;0.0303;0.0322;0.0287;0.0338;0.0316;0.0305;0.0323;0.0306;0.0278;0.0293;0.0277;0.0299;0.0287;0.0286;0.0299;0.0265;0.031;0.0317;0.0291;0.0306;0.0279;0.0294;0.0304;0.0311;0.0316;0.0315;0.0304;0.0317;0.028;0.0293;0.0264;0.0316;0.029;0.0283;0.0275;0.0283;0.0287;0.0301;0.0279;0.0291;0.0294;0.0305;0.0314;0.033;0.0288;0.028;0.0308;0.0286;0.0303;0.0303;0.0314;0.0326;0.0303;0.0306;0.0293;0.0322;0.0276;0.0306;0.0326;0.0288;0.0322;0.0288;0.0314;0.0298;0.0291;0.0276;0.0296;0.0264;0.0295;0.0277;0.0288;0.025;0.0239;0.0259
Crude Oil;0.0286;0.0285;0.0291;0.026;0.0286;0.0276;0.0298;0.0276;0.0272;0.0278;0.0286;0.0276;0.0264;0.0304;0.0291;0.0314;0.0313;0.0303;0.0298;0.0312;0.0305;0.0307;0.0304;0.0317;0.03;0.0292;0.0296;0.0318;0.0304;0.0302;0.0306;0.0323;0.0322;0.0317;0.0339;0.0324;0.0305;0.0599;0.0587;0.0616;0.0607;0.0593;0.0606;0.064;0.0617;0.0613;0.0619;0.0612;0.0619;0.0628;0.0636;0.0654;0.0665;0.0663;0.0655;0.0659;0.0658;0.0693;0.064;0.0653;0.066;0.0623;0.0613;0.0666;0.0668;0.0678;0.0654;0.0647;0.0652;0.066;0.0662;0.0643;0.0632;0.0649;0.0676;0.0692;0.0697;0.0713;0.07;0.0726;0.0693;0.0706;0.0703;0.072;0.0705;0.0681;0.0709;0.071;0.0714;0.0716;0.0707;0.0704;0.0704;0.0703;0.0725;0.0708;0.0718;0.069;0.0687;0.0737;0.0728;0.0707;0.0719;0.0727;0.0721;0.0712;0.0701;0.07;0.0706;0.0709;0.0743;0.0742;0.0738;0.0759;0.0765;0.0751;0.0768;0.0755;0.076;0.0747;0.0766;0.0745;0.0777;0.0819;0.078;0.0805;0.0781;0.078;0.0788;0.0768;0.0798;0.0781;0.0771;0.0794;0.0804;0.0813;0.079;0.0841;0.0812;0.0818;0.0845;0.0816;0.0832;0.0834;0.0814;0.0776;0.0779;0.0792;0.08;0.0796;0.0774;0.079;0.0777;0.0786;0.0788;0.0781;0.0781;0.0779;0.0791;0.0788;0.0692;0.0718;0.0747;0.0765;0.0747;0.0788;0.0776;0.0764;0.0778;0.0756;0.0773;0.0778;0.0778;0.0747;0.0784;0.0754;0.076;0.0764;0.0765;0.0745;0.0761;0.0707;0.0747;0.0786;0.0753;0.0737;0.0789;0.0792;0.0746;0.077;0.0748;0.0758;0.0762;0.0703;0.0726;0.0768;0.0719;0.0745;0.0716;0.0733;0.0721;0.0727;0.0741;0.0729;0.0743;0.0676;0.072;0.0667;0.0666;0.0668;0.0663;0.0675;0.0672;0.0644;0.0638;0.0636
Natural Gas;0.0268;0.0299;0.0286;0.0268;0.0245;0.0252;0.0274;0.0247;0.0246;0.0314;0.0226;0.0313;0.0277;0.028;0.03;0.0281;0.0299;0.0277;0.0291;0.0241;0.0252;0.027;0.0255;0.0283;0.0233;0.0275;0.027;0.0299;0.0224;0.0243;0.0278;0.0234;0.0265;0.0289;0.0254;0.0298;0.0265;0.0224;0.0231;0.0218;0.0229;0.0268;0.0227;0.0243;0.0226;0.0232;0.0237;0.0231;0.0241;0.0207;0.0225;0.0231;0.0238;0.0213;0.0226;0.0247;0.0218;0.022;0.0225;0.0234;0.023;0.0244;0.0246;0.0261;0.0239;0.024;0.0243;0.0241;0.0238;0.0249;0.0229;0.0241;0.0234;0.0272;0.0252;0.0257;0.0273;0.0254;0.0261;0.0269;0.0251;0.0248;0.0257;0.0249;0.0254;0.0239;0.0272;0.0251;0.026;0.0256;0.0244;0.0255;0.0239;0.0234;0.0258;0.0259;0.0232;0.0246;0.0245;0.025;0.0257;0.0253;0.0275;0.0262;0.0257;0.0264;0.0262;0.0264;0.0259;0.0235;0.0248;0.0254;0.0246;0.0255;0.0243;0.0273;0.0238;0.0231;0.0247;0.024;0.0254;0.024;0.0246;0.0256;0.0237;0.0253;0.0256;0.0244;0.0243;0.0228;0.0249;0.0245;0.0246;0.0257;0.0266;0.0259;0.0257;0.0263;0.0258;0.027;0.026;0.0276;0.028;0.0268;0.0259;0.0276;0.0274;0.0279;0.0276;0.0265;0.0267;0.0286;0.0278;0.0272;0.0295;0.0261;0.0289;0.0276;0.0274;0.0279;0.0276;0.0265;0.0267;0.0286;0.0278;0.0272;0.0295;0.0261;0.0289;0.0261;0.0284;0.0272;0.0266;0.0264;0.0276;0.0267;0.0269;0.0243;0.0263;0.0253;0.0262;0.0277;0.0286;0.0276;0.0272;0.0277;0.0283;0.0275;0.0254;0.0273;0.0271;0.0263;0.0268;0.025;0.026;0.0264;0.0262;0.0263;0.0269;0.0284;0.0261;0.0296;0.0268;0.0258;0.0265;0.0279;0.028;0.0296;0.027;0.0267;0.0296;0.0247;0.0264;0.0259;0.0268;0.0252
