period;Jan-07;Feb-07;Mar-07;Apr-07;May-07;Jun-07;Jul-07;Aug-07;Sep-07;Oct-07;Nov-07;Dec-07;Jan-08;Feb-08;Mar-08;Apr-08;May-08;Jun-08;Jul-08;Aug-08;Sep-08;Oct-08;Nov-08;Dec-08;Jan-09;Feb-09;Mar-09;Apr-09;May-09;Jun-09;Jul-09;Aug-09;Sep-09;Oct-09;Nov-09;Dec-09;Jan-10;Feb-10;Mar-10;Apr-10;May-10;Jun-10;Jul-10;Aug-10;Sep-10;Oct-10;Nov-10;Dec-10;Jan-11;Feb-11;Mar-11;Apr-11;May-11;Jun-11;Jul-11;Aug-11;Sep-11;Oct-11;Nov-11;Dec-11;Jan-12;Feb-12;Mar-12;Apr-12;May-12;Jun-12;Jul-12;Aug-12;Sep-12;Oct-12;Nov-12;Dec-12;Jan-13;Feb-13;Mar-13;Apr-13;May-13;Jun-13;Jul-13;Aug-13;Sep-13;Oct-13;Nov-13;Dec-13;Jan-14;Feb-14;Mar-14;Apr-14;May-14;Jun-14;Jul-14;Aug-14;Sep-14;Oct-14;Nov-14;Dec-14;Jan-15;Feb-15;Mar-15;Apr-15;May-15;Jun-15;Jul-15;Aug-15;Sep-15;Oct-15;Nov-15;Dec-15;Jan-16;Feb-16;Mar-16;Apr-16;May-16;Jun-16;Jul-16;Aug-16;Sep-16;Oct-16;Nov-16;Dec-16;Jan-17;Feb-17;Mar-17;Apr-17;May-17;Jun-17;Jul-17;Aug-17;Sep-17;Oct-17;Nov-17;Dec-17;Jan-18;Feb-18;Mar-18;Apr-18;May-18;Jun-18;Jul-18;Aug-18;Sep-18;Oct-18;Nov-18;Dec-18;Jan-19;Feb-19;Mar-19;Apr-19;May-19;Jun-19;Jul-19;Aug-19;Sep-19;Oct-19;Nov-19;Dec-19;Jan-20;Feb-20;Mar-20;Apr-20;May-20;Jun-20;Jul-20;Aug-20;Sep-20;Oct-20;Nov-20;Dec-20;Jan-21;Feb-21;Mar-21;Apr-21;May-21;Jun-21;Jul-21;Aug-21;Sep-21;Oct-21;Nov-21;Dec-21;Jan-22;Feb-22;Mar-22;Apr-22;May-22;Jun-22;Jul-22;Aug-22;Sep-22;Oct-22;Nov-22;Dec-22;Jan-23;Feb-23;Mar-23;Apr-23;May-23;Jun-23;Jul-23;Aug-23;Sep-23;Oct-23;Nov-23;Dec-23;Jan-24;Feb-24;Mar-24;Apr-24;May-24;Jun-24;Jul-24;Aug-24;Sep-24;Oct-24;Nov-24;Dec-24
Coal;1263495.34;1841807.65;1838647.43;3023179.16;3878956.86;1882286.35;3588017.75;3677202.08;4509201.32;2617099.14;2268662.11;2932406.94;1492282.09;3349113.46;3667837.93;4425955.4;4692514.5;4207095.71;4444092.13;5752123.54;4757705.84;5092246.91;6217480.57;5363639.72;3560087.46;2634833.13;4481558.07;4504095.01;2132394.16;1775790.49;2827027.59;3062263.45;3284494.68;3044778.53;3615223.97;2858855.79;3594731.7;75497858.51;59924225.02;67706362.81;78670123.53;76023158.34;89927259.36;83513783.19;86219444.94;101986584.7;101147339.1;91177820.17;86402019.98;70555214.09;77942643.34;91422413.24;73184991.66;99269832.81;113106709.2;106889535.3;118743080.5;109638693.4;104018151.9;108104191.7;102087098.1;106595552.6;69124808.68;63963741.95;98291997.54;88661100.8;91143633.51;80522913.07;74395821.18;87301486.7;54207586.33;78470940.51;91528730.61;95044721.77;89426909.15;86726556.96;93966811.23;108624646.9;96389202.89;91861993.69;91936731.92;85805239.54;94089795.4;95800256.26;96598379.25;102782241;99419036.97;100950166.5;101049164.6;101744567.5;94077696.57;89328122.72;93000487.65;109496751.5;93216437.53;74786597.4;82036740.52;68614817.36;69820644.89;82093369.78;57867518.65;64995327.86;61363627.88;44307049.65;61988751.94;58116798.26;54092724.42;51751889.39;58649080.88;62036127.51;56501179.43;57617910.69;46570763.88;51014033.99;68077816.62;57807921.9;70966657.9;68068535;66461000.38;93436820.06;108379708;106057982.8;100383295.7;102031551.6;72671706.67;102273644.8;96892074.07;89942367.59;101252064;114519150.4;96982307.13;93344006.67;115423982.5;111646753.1;101838524.2;115168792.2;101779186.8;109441849.2;115953098.2;118769807.3;106585854.3;107675242.9;119636268.5;109896475.1;117887318.4;120980132.6;100213038;110651454.5;104173129.6;107149154.7;112929520.7;95345026.06;92437705.17;102087480.3;94620807.44;90691665.57;100635678.9;96596462.13;95452714.25;105987104.8;84880424.5;86569345.94;79274120.93;72451481.89;76258625.8;79694871.09;75859493.73;75730292.23;73847659.54;74032451.94;72449892.18;80645660.46;77253501.76;87543066.41;89000341.15;99482101.64;121980348.7;126620134.5;166730338.4;171955696.1;161851455.8;156660776.3;163492749.8;219888325.5;208304244.9;209342244.1;231227894.3;184265493.7;165076823.6;167491852;169919560.5;167146502.4;181788205.9;196883573;182332491.7;197062395.5;161812372.7;170181918.5;151399730.3;136957382.7;134013428.1;134096783.9;154055815.6;155795131;176573880.1;154702758.2;153249598.2;146920145.5;131396826.8;130352330.8;119078263.8;94686160.8;108947415.6;94125353.58;94281633.58;99757348.92
Crude Oil;51918695.25;51129345.33;53370185.79;56280332.37;63523357.87;90138100.73;47469504.7;83949271.96;57034028.27;51888593.53;68808947.04;102179640.6;117167668.4;129391510.4;89130770.68;106915793.3;138238886.1;124144800.4;143981403.1;164342048.8;163512233.3;91857899.54;80695353.58;64140090.34;52678572.63;58539623.06;64325133.09;60365735.28;56791188.45;62869885.63;84548831.89;88481721.01;92275291.52;69649579.58;70420180.68;89321459.14;115663721.6;299984400.2;300552158.6;336121439.8;333285855.9;306877139.5;271269894.8;351283842.4;325442165.8;346211378.6;300725663.8;336657327;421870547.5;478949038.1;484339570.1;363172179.7;627923905.9;390868009;393819112.1;383807590.4;396896959.5;356055585.8;350096517.3;340451373.8;396165834.8;343003236.2;337564874.8;385785519.9;362749509.3;343653500.7;296218193.7;306259304;326520915.1;307456768.9;335940980.8;264705169.2;310332649.4;328954908.5;347434381;363973858.7;330551325.5;336821960.9;298195340;334665173;346880737.6;331392282.5;329015646.3;289654453.6;309369918.5;350037803.7;332951993.7;696935192.5;352856847.7;350399251.4;332813226;357904892.6;329795574;347073063.5;307910980.7;273501785.9;256710234.8;225449191.1;199228695.8;227097253.3;236308821.6;252482418.4;251526661.5;251101708.1;218832056;210160000.2;202025347;189071677.1;192567633.7;180307806;161373438.8;186342721.9;196293570.2;210765880.3;221445808.8;219202911.4;206302351;214351407.7;228484677.8;217076689.7;240823664.6;257733744.8;255407838;264056130.3;237684796.1;253861838.9;241916011.2;229385524.5;238112398.5;273098998.3;271628175.3;288463585.8;300754649;363597371.7;309825548.6;334139189.3;302454896.3;333890697.9;306461825.9;323529800.3;317783246.5;310902524.1;317560886.4;310196130.3;284723259.9;261048186.6;243193603.3;284022599.6;274775804.3;283574122.2;250011201.1;253039681.9;235194674;246738292.4;280579543.4;274985002.6;281496750;302704237.7;283277349.9;232070733.6;149831327.9;129992757.7;148995937.1;170326972;173431537.9;187344178;184513659.2;185433249.8;230153591.8;209340924.9;219827297.1;267669325.7;289077583.7;316545338.9;311239952.5;323671982.2;313883574.7;348528611;364500459;365198179.3;374700782.2;315627067.9;336289066.5;466728857.1;428014398.3;487753319.6;505647978.7;438168761.2;422835488.9;372130110.8;362199291.9;364544251.3;357106570.9;361760720.2;337866534.3;360096578.2;314074708.5;319094192.6;292080523.5;333067628.1;379888202.2;371220199.5;370877665.2;393872932.7;368006431.8;416762186.1;377978264.9;342258467.2;255788590.9;271985955.3;231386305.7;239348076.5;213879964.3;189929856.7;190804831.7;178625491.1
Natural Gas;74480291.18;71180729.63;63344331.61;55109635.34;58961948.6;46611301.42;47610900.09;49733059.3;52793530.99;58023998.42;64917976.16;89418409.37;82532648.21;100981196.9;93016160.44;91063741.15;104599484.3;92536117.45;81273641.08;83990329.52;66380247.01;60436152.75;97441934.43;88708913.06;84564416.7;94043385.34;82932242.13;75845548.77;37194281.46;41528332.75;41927970.63;35363168.18;43450017.48;46216456.58;47774784.28;64535866.02;59494707.23;105365061.9;117585139.3;105008639.6;97811730.85;107795414.4;62021185.92;97564132.73;89841155.01;82163368.05;79747971.64;109615195.2;114724662.6;96800300.21;120795910.5;113724185.4;94633664.81;103251415.9;100644938.8;115306874.3;126060870.2;122634390.4;140364301.4;107635075.2;132593730.1;202618500.5;201067737;215791543.2;200753288.6;184854307.7;187748492.7;190830416.8;171570887.5;180188794.4;173830192;189562177;237383064.5;243925860;235555710.5;222656901.3;224192149.8;191399691.7;191375844.4;202009125.6;204633902.2;175955538.8;206752425;206250166.9;237785404.2;233802058;244668156;229377200.3;211476022.7;203642652;189643163.3;170189870.6;193073011.3;168862507.1;129633776.1;106021399;123354467.9;102515563.2;96069687.58;95578466.32;75896461.62;83504222.2;87367373.62;85451051.6;97523208.66;89293550.66;85631361.61;95741757.45;101369178.3;112291344.3;116113753.8;104524103.6;88060802.03;86224111.34;89111782.25;94214709.13;92168806.93;91825792.37;99560574.34;104899543.9;129870030;130262527.7;125188804.6;125886640;111074619.7;117363307.5;120212082.3;127573729.7;132366751.8;122317135.4;138812240.4;137406846.4;150015399.6;152244696;127229241.1;121579161.2;127769811.7;109992892.6;101310692.1;105563818.6;95445688.38;100212893.2;108518917.5;124993283.5;122707280.5;127793964.4;111355986.3;99866109.41;88192264.91;83477811.81;72167805.04;77826384.16;76369490.06;78865483.82;92226104.03;98370918.66;116884112.3;127793964.4;111355986.3;99866109.41;88192264.91;83477811.81;72167805.04;77826384.16;76369490.06;78865483.82;92226104.03;98370918.66;116884112.3;137892816.8;139014676;134014066.8;115773648.5;125525807.8;143782901.7;170692437.3;191768983.5;198829605.7;281333592.4;298617459.5;351733365.2;325601508.2;298259846.2;352227167.4;327363439.3;329144083.8;312008374.3;389633447.7;477522644.2;399800275.2;319203441.7;288148538.2;347422905.2;292954970.3;238922766.1;232555234.6;221593697;177447690.5;155989311.3;173284961.1;178994786.9;160084315;189922444;187229775.5;220556398.7;152924945.6;126097563;115943174.7;107164223.7;104022857.9;105913223;79430220.75;111639997.4;93485296.3;109290780.7;126294050.7
