source;target;weight
Spain;Russian Federation;4512.044
Spain;Russian Federation;4512.044
Turkey;Azerbaijan;2389
Turkey;Azerbaijan;2389
Italy;Malta;2244.134
Italy;Malta;2244.134
Brazil;Argentina;4995
Brazil;Argentina;4995
Italy;India;45129.09
Italy;India;45129.09
Poland;Croatia;15841
Poland;Croatia;15841
Zimbabwe;Congo (Democratic Republic);10090.41
Zimbabwe;Congo (Democratic Republic);10090.41
Poland;USA;9603
Poland;USA;9603
Poland;Denmark;4996046
Poland;Denmark;4996046
Poland;Lithuania;8546
Poland;Lithuania;61
Poland;Lithuania;8485
France;Switzerland;3161.26
France;Switzerland;3161.26
Norway;Iceland;26569.355
Norway;Iceland;26569.355
Italy;Spain;187.512
Italy;Spain;187.512
Italy;Hungary;241.602
Italy;Hungary;241.602
Poland;Hungary;645139
Poland;Hungary;645139
Italy;Slovakia;983.236
Italy;Slovakia;983.236
Poland;Slovakia;9995141
Poland;Slovakia;9316066
Poland;Slovakia;679075
Poland;Serbia;276984
Poland;Serbia;276984
Italy;Greece;183.906
Italy;Greece;183.906
Turkey;Greece;7878
Turkey;Greece;7878
Poland;Ukraine;221910
Poland;Ukraine;11910
Poland;Ukraine;210000
Zimbabwe;Bulgaria;0.49
Zimbabwe;Bulgaria;0.49
Italy;Romania;9183.28
Italy;Romania;9183.28
Italy;Poland;230.784
Italy;Poland;230.784
France;Belgium;55959.11
France;Belgium;48215.826
France;Belgium;7743.284
Poland;Belgium;4171649
Poland;Belgium;4171649
Zimbabwe;Ghana;3400
Zimbabwe;Ghana;3400
Italy;Finland;457.962
Italy;Finland;457.962
Poland;Finland;1464845
Poland;Finland;1464845
Poland;Ireland;2408925
Poland;Ireland;2408925
Poland;Norway;1486440
Poland;Norway;1486440
Italy;Slovenia;15533.446
Italy;Slovenia;15533.446
Poland;Sweden;1835472
Poland;Sweden;1796177
Poland;Sweden;39295
France;United Kingdom;116975.034
France;United Kingdom;116975.034
Ireland;United Kingdom;6022.02
Italy;United Kingdom;4971.472
Italy;United Kingdom;4971.472
Ireland;United Kingdom;6022.02
Poland;United Kingdom;8653848
Poland;United Kingdom;8653848
Spain;Portugal;395737.633
Spain;Portugal;246068.44
Spain;Portugal;149669.194
Zimbabwe;Zambia;63097.58
Zimbabwe;Zambia;63097.58
Poland;Austria;12312902
Poland;Austria;5727378
Poland;Austria;6585524
Spain;Austria;18738.218
Spain;Austria;18738.218
Italy;France;79021.884
Italy;France;79021.884
Poland;France;9196645
Poland;France;9196645
Spain;France;86455.509
Spain;France;86455.509
Spain;Israel;17847.296
Spain;Israel;17847.296
Turkey;Israel;44308
Turkey;Israel;44308
Italy;Libya;74418.224
Italy;Libya;74418.224
France;Netherlands;640.666
France;Netherlands;640.666
Spain;Netherlands;47679.205
Spain;Netherlands;47679.205
Lithuania;Estonia;114
Lithuania;Estonia;114
Poland;Estonia;5995
Poland;Estonia;5995
France;Germany;1511981.376
France;Germany;1486966.554
France;Germany;19075.74
France;Germany;5939.082
Italy;Germany;1007.276
Italy;Germany;64.908
Italy;Germany;942.368
Poland;Germany;45415393
Poland;Germany;613062
Poland;Germany;2687233
Poland;Germany;42115098
Poland;Czechia;13624661
Poland;Czechia;40019
Poland;Czechia;8088904
Poland;Czechia;5495738
Poland;Italy;70775
Poland;Italy;70775
Spain;Italy;158.183
Spain;Italy;158.183
Italy;India;22853.883
Italy;India;22853.883
Zimbabwe;Congo (Democratic Republic);8170.33
Zimbabwe;Congo (Democratic Republic);8170.33
Poland;Denmark;583837
Poland;Denmark;583837
Poland;Lithuania;1224
Poland;Lithuania;1224
Poland;Brazil;7438855
Poland;Brazil;7438855
Spain;Morocco;248317.328
Spain;Morocco;248317.328
Italy;Spain;9502.817
Italy;Spain;9502.817
Poland;Spain;368826
Poland;Spain;368826
Poland;Hungary;95205
Poland;Hungary;95205
Poland;Slovakia;8713345
Poland;Slovakia;43396
Poland;Slovakia;7794096
Poland;Slovakia;875853
Poland;North Macedonia;78874
Poland;North Macedonia;78874
Italy;Lebanon;15069.034
Italy;Lebanon;15069.034
Turkey;Greece;4662
Turkey;Greece;4662
Turkey;Bulgaria;8574
Turkey;Bulgaria;8574
Poland;Romania;4659
Poland;Romania;4659
Italy;Poland;2403.928
Italy;Poland;2403.928
France;Belgium;184498.719
France;Belgium;1584.212
France;Belgium;182488.697
France;Belgium;425.811
Italy;Finland;46.631
Italy;Finland;46.631
Norway;Finland;1799.375
Poland;Finland;271449
Poland;Finland;271449
Norway;Finland;1799.375
Poland;Ireland;2699792
Poland;Ireland;2699792
Estonia;Norway;58234.82
Estonia;Norway;12215.81
Estonia;Norway;46019.01
Poland;Norway;1173438
Poland;Norway;1173438
Italy;Slovenia;7188.469
Italy;Slovenia;7188.469
Poland;Sweden;1379977
Poland;Sweden;1353794
Poland;Sweden;26183
France;United Kingdom;120.258
France;United Kingdom;80.99
France;United Kingdom;39.268
Poland;United Kingdom;4000508
Poland;United Kingdom;4000508
Italy;Portugal;103.078
Italy;Portugal;103.078
Spain;Portugal;344115.371
Spain;Portugal;221312.565
Spain;Portugal;122802.807
Zimbabwe;Zambia;63997.86
Zimbabwe;Zambia;63997.86
Italy;Qatar;1821.046
Italy;Qatar;1821.046
France;Austria;19997.148
France;Austria;19997.148
Poland;Austria;8590614
Poland;Austria;4768800
Poland;Austria;3821814
Spain;Austria;18141.742
Spain;Austria;18141.742
Italy;France;192097.046
Italy;France;192097.046
Poland;France;4161220
Poland;France;4161220
Spain;France;102791.67
Spain;France;102791.67
Turkey;Israel;38432
Turkey;Israel;38432
Spain;Netherlands;41094.924
Spain;Netherlands;41094.924
Latvia;Estonia;66899.946
Latvia;Estonia;66899.946
France;Germany;37803.886
France;Germany;4328.052
France;Germany;33475.834
Italy;Germany;1490.951
Italy;Germany;1490.951
Poland;Germany;41214233
Poland;Germany;218032
Poland;Germany;2031510
Poland;Germany;38950425
Poland;Germany;14266
Spain;Germany;4067.596
Spain;Germany;4067.596
Switzerland;Germany;515.619
Switzerland;Germany;515.619
Poland;Czechia;10799203
Poland;Czechia;73782
Poland;Czechia;5684151
Poland;Czechia;5041270
France;Italy;15815.123
France;Italy;15815.123
Poland;Italy;63840
Poland;Italy;63840
Lithuania;Russian Federation;649
Lithuania;Russian Federation;649
Turkey;Russian Federation;1624
Turkey;Russian Federation;1624
Brazil;Argentina;5460
Brazil;Argentina;5460
Italy;India;11891.052
Italy;India;11891.052
Poland;Denmark;2843036
Poland;Denmark;2843036
Spain;Venezuela;337640.1
Spain;Venezuela;337640.1
Poland;Lithuania;1862
Poland;Lithuania;1862
France;Switzerland;7932.476
France;Switzerland;7932.476
Spain;Switzerland;25.539
Spain;Switzerland;25.539
Poland;Iceland;291636
Poland;Iceland;291636
Italy;Spain;1665.156
Italy;Spain;1665.156
Poland;Hungary;752947
Poland;Hungary;752947
Poland;Slovakia;10514198
Poland;Slovakia;41265
Poland;Slovakia;9322598
Poland;Slovakia;1150335
Poland;Egypt;8123500
Poland;Egypt;8123500
Poland;North Macedonia;370620
Poland;North Macedonia;370620
Italy;Lebanon;15591.682
Italy;Lebanon;15591.682
Poland;Serbia;6491
Poland;Serbia;6491
Italy;Greece;83.002
Italy;Greece;83.002
Turkey;Greece;8419
Turkey;Greece;8419
Turkey;Bulgaria;7905
Turkey;Bulgaria;7905
Italy;Poland;5088.686
Italy;Poland;5088.686
France;Belgium;167377.532
France;Belgium;166272.962
France;Belgium;1104.57
Poland;Belgium;4474602
Poland;Belgium;4474602
Italy;Finland;582.294
Italy;Finland;582.294
Poland;Finland;1920400
Poland;Finland;1920400
Italy;Ireland;403.519
Italy;Ireland;403.519
Poland;Ireland;2775913
Poland;Ireland;2775913
Poland;Norway;1406107
Poland;Norway;1406107
Italy;Slovenia;15569.973
Italy;Slovenia;15569.973
Poland;Slovenia;107470
Poland;Slovenia;107470
Poland;Sweden;1852454
Poland;Sweden;1852454
Ireland;United Kingdom;255941.093
Italy;United Kingdom;455.875
Ireland;United Kingdom;240503.923
Italy;United Kingdom;455.875
Ireland;United Kingdom;15437.169
Poland;United Kingdom;7350378
Poland;United Kingdom;7310502
Poland;United Kingdom;39876
Spain;United Kingdom;488044.765
Spain;United Kingdom;488044.765
Spain;Portugal;401536.445
Spain;Portugal;181227.389
Spain;Portugal;220309.056
Italy;Albania;619137.887
Italy;Albania;619137.887
Zimbabwe;Zambia;126469.24
Zimbabwe;Zambia;126469.24
Italy;Moldova;1951.195
Italy;Moldova;1951.195
Lithuania;Latvia;83
Lithuania;Latvia;83
Poland;Austria;11920253
Poland;Austria;5291368
Poland;Austria;6628885
Spain;Austria;19439.417
Spain;Austria;19439.417
Italy;France;104643.041
Italy;France;18983.287
Italy;France;85659.754
Poland;France;2809231
Poland;France;2809231
Spain;France;128262.332
Spain;France;128262.332
Turkey;Israel;34974
Turkey;Israel;34974
France;Netherlands;891.318
France;Netherlands;891.318
Poland;Netherlands;8451565
Poland;Netherlands;8451565
Spain;Netherlands;53270.685
Spain;Netherlands;53270.685
France;Germany;39778.581
France;Germany;13773.291
France;Germany;26005.29
Italy;Germany;3940.699
Italy;Germany;3684.03
Italy;Germany;256.669
Poland;Germany;36193096
Poland;Germany;366629
Poland;Germany;1825229
Poland;Germany;34001238
Spain;Germany;156613.066
Spain;Germany;156613.066
Italy;Czechia;6622.315
Italy;Czechia;6622.315
Poland;Czechia;13367228
Poland;Czechia;27540
Poland;Czechia;8643011
Poland;Czechia;4696677
France;Italy;30830.922
France;Italy;30830.922
Poland;Italy;5577339
Poland;Italy;73433
Poland;Italy;3389344
Poland;Italy;2114562
Spain;Italy;2119.754
Spain;Italy;2119.754
Poland;Serbia;224332
Poland;Serbia;224332
France;Burkina Faso;4777.905
France;Burkina Faso;4777.905
Turkey;Iraq;804
Turkey;Iraq;804
Spain;Russian Federation;8254.833
Spain;Russian Federation;8254.833
Zimbabwe;South Africa;322611382
Zimbabwe;South Africa;322611382
Brazil;Argentina;10455
Brazil;Argentina;10455
Poland;Croatia;22977
Poland;Croatia;22977
Italy;Kazakhstan;9993.5
Italy;Kazakhstan;9993.5
Italy;USA;1963.28
Italy;USA;1963.28
Spain;Algeria;1027.18
Spain;Algeria;1027.18
Poland;Denmark;4763348
Poland;Denmark;4763348
Poland;Lithuania;8994
Poland;Lithuania;8994
France;Switzerland;7686.14
France;Switzerland;7363.565
France;Switzerland;322.575
Italy;Spain;7119.42
Italy;Spain;7119.42
Poland;Spain;765293
Poland;Spain;765293
Italy;Hungary;207.46
Italy;Hungary;207.46
Poland;Hungary;837026
Poland;Hungary;837026
Poland;Slovakia;11337235
Poland;Slovakia;3373
Poland;Slovakia;10050283
Poland;Slovakia;1282219
Poland;Slovakia;1360
Poland;Egypt;7825723
Poland;Egypt;7825723
Poland;North Macedonia;87477
Poland;North Macedonia;87477
Italy;Greece;1636.91
Italy;Greece;1636.91
Zimbabwe;Malawi;226678010
Zimbabwe;Malawi;226678010
Poland;Romania;4957
Poland;Romania;4957
Turkey;Romania;180
Turkey;Romania;180
Italy;Poland;30974.79
Lithuania;Poland;5284
Italy;Poland;30912.805
Lithuania;Poland;5284
Italy;Poland;61.985
France;Belgium;53237.525
France;Belgium;4585.625
France;Belgium;48651.9
Poland;Belgium;4811133
Poland;Belgium;4811133
Poland;Finland;1596723
Poland;Finland;1596723
Poland;Ireland;3217763
Poland;Ireland;3217763
Poland;Norway;1941105
Poland;Norway;1941105
Italy;Slovenia;9462.2
Italy;Slovenia;9099.145
Italy;Slovenia;363.055
Poland;Slovenia;37684
Poland;Slovenia;37684
Poland;Sweden;1215896
Poland;Sweden;1173513
Poland;Sweden;42383
Ireland;United Kingdom;77715.275
Italy;United Kingdom;602.14
Italy;United Kingdom;602.14
Ireland;United Kingdom;565.455
Ireland;United Kingdom;77149.82
Poland;United Kingdom;7451845
Poland;United Kingdom;7451845
Spain;Portugal;174553.504
Spain;Portugal;174553.504
Zimbabwe;Zambia;33012086232
Zimbabwe;Zambia;33012086232
Turkey;Cyprus;838
Turkey;Cyprus;838
Poland;Austria;14204684
Poland;Austria;4470
Poland;Austria;7053635
Poland;Austria;7146579
Spain;Austria;9350.88
Spain;Austria;9350.88
Italy;France;43246.555
Italy;France;30936.84
Italy;France;12309.715
Spain;France;149260.449
Spain;France;149260.449
Turkey;Israel;31740
Turkey;Israel;31740
Malawi;United Rep. of Tanzania;14159.099
Malawi;United Rep. of Tanzania;14159.099
Spain;Netherlands;47920.528
Spain;Netherlands;47920.528
France;Germany;29221.5
France;Germany;29221.5
Italy;Germany;5844.3
Italy;Germany;5844.3
Poland;Germany;38415948
Poland;Germany;203306
Poland;Germany;1306365
Poland;Germany;36906277
Italy;Czechia;146.74
Italy;Czechia;146.74
Poland;Czechia;13869270
Romania;Czechia;253.81
Poland;Czechia;34773
Poland;Czechia;10041723
Romania;Czechia;253.81
Poland;Czechia;3792774
Poland;Italy;60260
Poland;Italy;60260
Poland;Serbia;142650
Poland;Serbia;142650
Turkey;Turkmenistan;6582
Turkey;Turkmenistan;6582
Turkey;Iraq;693
Turkey;Iraq;693
Lithuania;Russian Federation;790
Lithuania;Russian Federation;790
Zimbabwe;Russian Federation;1.99
Zimbabwe;Russian Federation;1.99
Lesotho;South Africa;108.11
Lesotho;South Africa;108.11
Poland;Croatia;18052
Poland;Croatia;18052
Turkey;Kazakhstan;7923
Turkey;Kazakhstan;7923
Italy;China;144251.72
Italy;China;144251.72
Italy;Algeria;1992.609
Italy;Algeria;1992.609
Poland;Denmark;1895577
Poland;Denmark;1895577
Spain;Tunisia;228096.685
Spain;Tunisia;99603.574
Spain;Tunisia;128493.111
Poland;Iceland;604142
Poland;Iceland;604142
Spain;Morocco;286020.581
Spain;Morocco;286020.581
Italy;Spain;14535.52
Italy;Spain;14535.52
Poland;Spain;8298666
Poland;Spain;7919805
Poland;Spain;378861
Italy;Hungary;45.661
Italy;Hungary;45.661
Poland;Hungary;2373997
Poland;Hungary;1241090
Poland;Hungary;1132907
Italy;Slovakia;1344.472
Italy;Slovakia;1344.472
Poland;Slovakia;10320550
Poland;Slovakia;9015406
Poland;Slovakia;1305144
Spain;Slovakia;1490.335
Spain;Slovakia;1490.335
Italy;Egypt;41475.699
Italy;Egypt;41475.699
Poland;North Macedonia;151488
Poland;North Macedonia;151488
Turkey;Greece;8391
Turkey;Greece;8391
Italy;Poland;8018.635
Italy;Poland;8018.635
France;Belgium;113951.629
France;Belgium;1844.21
France;Belgium;111782.716
France;Belgium;324.703
Poland;Belgium;3753
Poland;Belgium;3753
Poland;Finland;1818822
Poland;Finland;1818822
