source;target;weight
Chile;Bolivia (Plurinational State of);1030
Chile;USA;5221.92
Chile;Ecuador;5156473.64
Chile;El Salvador;2612444.56
Norway;United Kingdom;79185.929
Norway;Türkiye;46828008.17
Norway;USA;29196925.1
Norway;France;427400660.2
Norway;France;408219416.4
Norway;Netherlands;161418670.7
Norway;Mexico;650.751
Norway;Italy;171919585.7
Norway;Germany;717530755.8
Norway;France;408219416.4
Norway;Denmark;6456746.895
Norway;Czechia;83173765.48
Norway;Belgium;150388274.8
Norway;United Kingdom;425188544.1
Norway;United Arab Emirates;831.323
Norway;Spain;50951457.8
Norway;Poland;6456746.895
Norway;Netherlands;208378970
Norway;Mexico;650.751
Norway;Italy;171919585.7
Norway;Germany;722500886.3
Chile;Uruguay;3000
Chile;Bolivia (Plurinational State of);18.245
Chile;Ecuador;3620410.44
Chile;Peru;838018.331
Chile;Bolivia (Plurinational State of);1392.093
Chile;Peru;1425.996
Chile;Ecuador;1928580.8
Chile;Peru;1425.996
Chile;Bolivia (Plurinational State of);1392.093
Dominican Rep.;Haiti;1074
Dominican Rep.;Haiti;13
Norway;United Kingdom;79185.929
Norway;Türkiye;46828008.17
Norway;Sweden;32190216.81
Norway;Portugal;5046371.063
Norway;Netherlands;161418670.7
Norway;Netherlands;208378970
Dominican Rep.;Haiti;916
Dominican Rep.;Turks and Caicos Isds;100
Dominican Rep.;Colombia;125
Dominican Rep.;Turks and Caicos Isds;60
Dominican Rep.;Haiti;1260
Dominican Rep.;Haiti;2957
Dominican Rep.;Haiti;2460
Dominican Rep.;Turks and Caicos Isds;500
Dominican Rep.;Colombia;30
Norway;Mexico;650.751
Norway;Mexico;650.751
Norway;Italy;171919585.7
Norway;Italy;171919585.7
Norway;Germany;722500886.3
Norway;Germany;717530755.8
Norway;Denmark;6456746.895
Norway;Denmark;6456746.895
Norway;Czechia;83173765.48
Norway;Czechia;83173765.48
Norway;Belgium;150388274.8
Norway;Belgium;192021858
Norway;United Kingdom;454406989.6
Norway;United Kingdom;425188544.1
Norway;United Arab Emirates;831.323
Norway;United Arab Emirates;831.323
Norway;Spain;50951457.8
Norway;Spain;50951457.8
Norway;Poland;6456746.895
Norway;Poland;11216465.43
Norway;Sweden;35053678.74
Norway;Australia;10911156.04
Norway;USA;38185350.68
Norway;Denmark;5830531.291
Norway;Italy;123277562.7
Norway;Spain;39284576.92
Norway;Germany;624591434.9
Dominican Rep.;Haiti;894
Dominican Rep.;Haiti;103
Dominican Rep.;Haiti;794
Dominican Rep.;Haiti;3
Dominican Rep.;Haiti;642
Dominican Rep.;Haiti;98
Dominican Rep.;Haiti;1621
Norway;Czechia;68571381.5
Norway;Spain;39284576.92
Norway;Czechia;68571381.5
Norway;United Kingdom;345972118.5
Norway;United Kingdom;52695.361
Norway;Guatemala;17528949.88
Norway;Türkiye;23409793.14
Norway;Germany;613627865.5
Norway;USA;38185350.68
Norway;France;302910188.3
Norway;France;346457707.1
Dominican Rep.;Turks and Caicos Isds;35
Dominican Rep.;Turks and Caicos Isds;35
Dominican Rep.;Haiti;463
Dominican Rep.;Turks and Caicos Isds;335
Dominican Rep.;Haiti;4037
Dominican Rep.;Colombia;198
Dominican Rep.;Haiti;1105
Dominican Rep.;Chile;300
Dominican Rep.;Turks and Caicos Isds;84
El Salvador;Nicaragua;4590
El Salvador;Nicaragua;4590
Norway;France;302910188.3
Norway;France;346457707.1
Norway;Netherlands;195916767.7
Norway;Belgium;118509077.3
Norway;Germany;613627865.5
Norway;Denmark;5830531.291
Norway;Poland;10732281.37
Norway;United Kingdom;372177326.6
Norway;United Arab Emirates;724.139
Norway;Poland;5830531.291
Norway;Netherlands;145763283.1
El Salvador;Guatemala;5342.7
El Salvador;Guatemala;2836.2
El Salvador;Guatemala;2932.5
El Salvador;Guatemala;8234.7
Estonia;Latvia;159.16
Estonia;Latvia;3686.76
Estonia;Argentina;49.79
Estonia;Gibraltar;27.57
Estonia;Argentina;49.79
Estonia;Panama;48.5
Estonia;Latvia;176.86
Estonia;Latvia;808.21
Estonia;Lithuania;2524.36
Estonia;Latvia;3686.76
Estonia;Latvia;37226.09
Estonia;Lithuania;2897.19
Estonia;Russian Federation;50.27
Estonia;Latvia;558.43
Estonia;Latvia;558.43
Norway;Belgium;146178784.8
Norway;Italy;123277562.7
Norway;United Arab Emirates;724.139
Norway;Poland;6691490.466
Norway;Netherlands;167287260.8
Norway;Netherlands;186319485.5
Norway;Italy;130793557.9
Norway;Italy;130793557.9
Norway;Germany;631960222.5
Norway;Germany;627509013.4
Norway;United Kingdom;374574401.5
Norway;United Kingdom;395984879.1
Norway;Spain;40240452.06
Norway;Spain;40240452.06
Estonia;Latvia;159.16
Estonia;Finland;7364.15
Estonia;Finland;7364.15
Estonia;Latvia;8777.45
Estonia;Latvia;8777.45
Estonia;Gibraltar;27.57
Estonia;Russian Federation;29.51
Estonia;Panama;48.5
Norway;Denmark;6691490.466
Norway;Denmark;6691490.466
Norway;Czechia;64081748.49
Norway;Czechia;64081748.49
Norway;Belgium;123549919.4
Norway;Belgium;140202156.5
Norway;USA;42138752.94
Norway;France;323479716.3
Norway;France;321713348.2
Norway;Poland;6691490.466
Estonia;Latvia;66251.85
Estonia;Malta;52.54
Estonia;Latvia;66251.85
Estonia;Malta;52.54
Estonia;France;24.18
Estonia;France;24.18
Estonia;Lithuania;2605.86
Estonia;Latvia;647.54
Estonia;Lithuania;6176.43
Estonia;Latvia;647.54
Estonia;Lithuania;6176.43
Norway;Netherlands;186319485.5
Norway;Italy;130793557.9
Norway;Germany;631960222.5
Norway;United Kingdom;395984879.1
Norway;Spain;40240452.06
Norway;France;323479716.3
Norway;Denmark;6691490.466
Norway;Czechia;64081748.49
Norway;Belgium;140202156.5
Norway;Poland;6691490.466
Norway;Netherlands;167287260.8
Norway;Italy;130793557.9
Norway;Germany;627509013.4
Estonia;Lithuania;2524.36
Estonia;Latvia;808.21
Estonia;Latvia;13277.18
Estonia;Lithuania;3472.76
Estonia;Russian Federation;29.51
Estonia;Latvia;13277.18
Estonia;Lithuania;3472.76
Estonia;Latvia;26396.57
Estonia;Latvia;26396.57
Estonia;Lithuania;2605.86
Norway;United Kingdom;374574401.5
Norway;Spain;40240452.06
Norway;France;321713348.2
Norway;Denmark;6691490.466
Norway;Czechia;64081748.49
Norway;Belgium;123549919.4
Norway;United Kingdom;20477.89
Norway;Guatemala;2827664.847
Norway;Sweden;75400878.57
Norway;USA;42138752.94
Estonia;Lithuania;2897.19
Estonia;Russian Federation;50.27
Estonia;Latvia;37226.09
France;Austria;412.458
France;Germany;841657.106
France;Sweden;7010.116
France;Spain;60519149.09
France;Switzerland;19336683.53
France;United Kingdom;5771286.985
France;Austria;330425.523
France;Belgium;2781389.205
France;Luxembourg;493.806
France;Czechia;16997.594
France;Netherlands;1143040.97
France;Portugal;5656374.103
France;Malta;67.777
France;Poland;2449.667
France;Singapore;1857.826
France;Russian Federation;20790.705
France;USA;32573.073
France;Angola;4618.543
France;Denmark;14414.792
France;Czechia;548.27
France;Belgium;472.021
France;Austria;659.619
France;Germany;710120.345
France;Italy;182470464.4
Norway;Mauritania;1001207.952
Norway;Türkiye;14018956.99
Norway;Switzerland;189868.517
Norway;USA;23600974.29
France;Austria;4665.527
France;Luxembourg;1881.492
France;Netherlands;1363181.429
France;Belgium;3361248.163
France;Portugal;3993823.389
France;Spain;53335711.71
France;United Kingdom;9960860.15
France;Switzerland;17655121.94
France;Netherlands;764.916
France;Greece;710105.583
France;Oman;10792.314
France;Morocco;24294405.23
France;Andorra;83113.947
France;Belgium;132.516
France;Austria;551.554
France;Nigeria;1570983.95
France;Morocco;19533817.39
France;Mauritania;72228.18
France;Malaysia;15117.554
France;Czechia;28246.254
France;Senegal;2677662.542
France;Poland;2860.441
France;Syria;6627890.475
France;Sweden;95155.017
France;Tunisia;14184954.98
France;Egypt;2352892.696
France;USA;1735186.748
France;Germany;648376.892
Norway;Sweden;16768.872
Norway;United Kingdom;34136.262
Norway;Portugal;5229765.289
Norway;Türkiye;22582496.83
Norway;Sweden;16768.872
Norway;Germany;669750518.8
Norway;Germany;665712187.2
Norway;Denmark;5870820.351
Norway;Denmark;5870462.574
Norway;Denmark;357.777
Norway;Czechia;78161345.69
Norway;Czechia;78161345.69
Norway;Belgium;133893179.1
France;New Caledonia;2817.462
France;Russian Federation;3735.525
France;Norway;8771.142
France;Bulgaria;1486.331
France;Switzerland;17615376.62
France;Spain;50267639.61
France;Belgium;310.398
France;Italy;133.71
France;Italy;144706534.3
France;Germany;7276642.233
France;Hungary;567.074
France;Spain;268.046
France;Belgium;462.77
France;Switzerland;13430242.89
France;Italy;157082833.9
France;Italy;67.312
France;Spain;55401384.4
France;Cameroon;4964.26
France;Austria;438434.308
France;Netherlands;5939541.164
Norway;Belgium;198836196.3
Norway;Poland;10757853.54
Norway;Poland;5870462.574
Norway;Netherlands;155240659.9
Norway;Netherlands;146761564.5
Norway;Italy;155338199.6
Norway;Italy;155338199.6
Norway;United Kingdom;397572946.3
